species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
43026,Micrechites serpyllifolius,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=43026,https://cms.mybis.gov.my/img/plant.png
16962,Microsorum heterocarpum,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=16962,https://cms.mybis.gov.my/img/plant.png
41177,Microsorum pteropus,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41177,https://cms.mybis.gov.my/thumbnail/s300_858.jpeg
41180,Microsorum punctatum,Fish Tail Fern,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41180,https://cms.mybis.gov.my/thumbnail/s300_861.jpeg
42950,Microsorum sarawakense,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42950,https://cms.mybis.gov.my/thumbnail/s300_866.jpeg
42951,Microsorum scolopendria,Paku Wangi,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42951,https://cms.mybis.gov.my/thumbnail/s300_868.jpeg
41218,Mischocarpus pentapetalus,Ling Bray,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41218,https://cms.mybis.gov.my/img/plant.png
3131,Momordica charantia,Bitter Gourd,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=3131,https://cms.mybis.gov.my/thumbnail/s300_1862.jpeg
5134,Momordica clarkeana,,Vulnerable,Plantae,https://www.mybis.gov.my/one/profile.php?sid=5134,https://cms.mybis.gov.my/img/plant.png
36082,Momordica subangulata,,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36082,https://cms.mybis.gov.my/img/plant.png
10524,Morella esculenta,Telur Cicak,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=10524,https://cms.mybis.gov.my/img/plant.png
4603,Myristica cinnamomea,Pokok Buah Pala,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=4603,https://cms.mybis.gov.my/img/plant.png
4938,Myristica crassa,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=4938,https://cms.mybis.gov.my/img/plant.png
12077,Myristica elliptica,Penarahan Arang Ayer,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=12077,https://cms.mybis.gov.my/img/plant.png
13443,Myristica gigantea,Penarahan Arang Bukit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=13443,https://cms.mybis.gov.my/img/plant.png
18649,Myristica iners,Penarahan Arang,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=18649,https://cms.mybis.gov.my/img/plant.png
45554,Myristica lowiana,Penarah Arang Gambut,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=45554,https://cms.mybis.gov.my/img/plant.png
